,tpEurope_cluster1,tpEurope_cluster2,tpEurope_cluster3,tpEurope_cluster4,tpEurope_cluster5
1996-11-29,0.00015575975365947724,-6.74270788524648e-05,9.413345298709917e-05,-1.5359301734283873e-05,-4.740108751696533e-05
1996-11-30,3.521468394771526e-05,-6.092301421678643e-05,0.00023293933561916924,-2.396509025559182e-06,-0.00012059293733472664
1996-12-01,3.0537094776729856e-05,-0.00015993146723342573,0.0003748228639633744,-1.0368803078150097e-05,1.807418091260761e-05
1996-12-02,6.961139179534655e-05,-0.0001504375844507595,6.141678770925385e-06,-1.3570050731119764e-05,0.00024798286392403246
1996-12-03,0.00010047190473213328,2.6266563291962234e-05,-7.101797448291319e-05,1.8873643262358185e-05,0.0004532988458315006
1996-12-04,1.7668841963965918e-05,0.00021816864522713304,-0.00018422797972610168,3.583296950121918e-05,4.831585941142088e-05
1996-12-05,-5.9623453928952953e-05,0.00018277436128892884,-0.0001750141718160889,8.5546329745467e-06,-0.0001663963782031916
1996-12-06,-5.755533699748509e-05,1.7304255726420965e-05,-0.00017366012030953047,-1.2918565058778352e-05,-0.0001604810215907941
1996-12-07,-8.362323491059348e-05,-6.719050727433896e-05,-0.00015036741663188575,3.470907880162631e-05,6.224827296004071e-05
1996-12-08,-7.531021602291181e-05,-8.60590540328462e-05,7.235080092496093e-05,2.2023307852977606e-05,-5.9112264795877735e-05
1996-12-09,-7.526812608362149e-05,-8.469762396028617e-05,0.0003580304620380643,3.932819244194563e-05,-0.00018129470562757861
1996-12-10,-7.168209414675807e-05,0.0002898275688015915,0.00025385078763167165,1.8679729608758553e-06,-0.00027290447238128353
1996-12-11,-5.0313642972621533e-05,0.0005816877165070604,-5.589814913183138e-05,1.1970087075004022e-05,-0.00014902699635908095
1996-12-12,6.084941584170931e-06,0.0003720228424374668,-0.00014368726814557024,1.2014331655676067e-05,-0.00014418405953337758
1996-12-13,3.851268859692042e-06,0.0005268531599295435,-2.9325738103304687e-05,5.845297200009933e-06,-0.00019172933403422099
1996-12-14,3.8155214521842953e-05,-1.8745705753001475e-05,0.0002510733504329616,2.301434563709436e-06,-8.566796346580755e-05
1996-12-15,3.0398998538134312e-05,5.539378293135723e-05,-3.937540269503434e-05,4.389063839328691e-05,-0.0001821468430195837
1996-12-16,-6.887529750452799e-05,0.00016910021441386756,-0.00015556060216163981,1.62514711104512e-05,-0.00015141754280910871
1996-12-17,-5.394425433441919e-05,0.00041920715099905126,-5.7944065994421035e-05,-2.3879994233042737e-05,-5.02089579090449e-05
1996-12-18,3.024644390054799e-05,0.0005396028328801615,-7.780039637391475e-05,-1.0906595481951003e-05,-0.00010450093917310237
1996-12-19,5.503372315808823e-05,0.00032559202144745973,-5.279637204386798e-05,9.015253718219439e-06,-0.00011655711140976149
1996-12-20,-1.8175319854255231e-06,0.000694042813187757,0.00014788735691198077,6.332591274435812e-06,-0.00022205597652039252
1996-12-21,-5.933867257055442e-05,0.0004404994579640784,-8.384583352620462e-05,2.144715901304508e-05,-0.0002763362601750211
1996-12-22,-6.297535551187679e-05,0.00020174891082235845,-8.034285223373753e-05,-1.9405754998726357e-07,-0.0002921902353183153
1996-12-23,-1.2472762080330434e-06,0.0002317602642258055,2.6949147379287277e-05,-1.0947496265140429e-05,-0.0002894815195626365
1996-12-24,-3.717901054389345e-05,0.00026313088643068567,0.0001477709378732281,1.8868921336912477e-05,-0.00028628587915047546
1996-12-25,-7.348124394893183e-05,-0.00014240525674900377,0.0004172188988601629,-1.0792971041239953e-05,-0.00025665739318111796
1996-12-26,-8.458169274814041e-05,-0.0001921519677562234,0.00019278394699966204,4.971708822273421e-05,-3.9526379986202125e-05
1996-12-27,-5.006438629615915e-05,-0.00018897762949677765,1.548936207523672e-05,3.917394204602664e-05,-0.00027109209200081627
1996-12-28,-6.105510564282442e-05,0.00010729281007973845,-6.17937698866354e-05,5.16651580537706e-05,-0.000314672291128778
1996-12-29,-4.182359163423684e-05,0.0001778952824811814,0.00012044784628090354,3.439716518172609e-05,-0.00031717305121498356
