,cluster,nodes_lat,nodes_lon
859,2,62.5,25.5
860,2,62.5,26.0
861,2,62.5,26.5
862,2,62.5,27.0
863,2,62.5,27.5
864,2,62.5,28.0
865,2,62.5,28.5
866,2,62.5,29.0
867,2,62.5,29.5
868,2,62.5,30.0
869,2,62.5,30.5
870,2,62.5,31.0
871,2,62.5,31.5
872,2,62.5,32.0
873,2,62.5,32.5
874,2,62.5,33.0
875,2,62.5,33.5
876,2,62.5,34.0
877,2,62.5,34.5
878,2,62.5,35.0
879,2,62.5,35.5
880,2,62.5,36.0
881,2,62.5,36.5
882,2,62.5,37.0
883,2,62.5,37.5
884,2,62.5,38.0
885,2,62.5,38.5
886,2,62.5,39.0
887,2,62.5,39.5
888,2,62.5,40.0
889,2,62.5,40.5
890,2,62.5,41.0
891,2,62.5,41.5
892,2,62.5,42.0
893,2,62.5,42.5
894,2,62.5,43.0
895,2,62.5,43.5
896,2,62.5,44.0
897,2,62.0,5.5
898,2,62.0,6.0
899,2,62.0,6.5
900,2,62.0,7.0
901,2,62.0,7.5
902,2,62.0,8.0
903,2,62.0,8.5
904,2,62.0,9.0
905,2,62.0,9.5
906,2,62.0,10.0
907,2,62.0,10.5
908,2,62.0,11.0
909,2,62.0,11.5
910,2,62.0,12.0
911,2,62.0,12.5
912,2,62.0,13.0
913,2,62.0,13.5
914,2,62.0,14.0
915,2,62.0,14.5
916,2,62.0,15.0
917,2,62.0,15.5
918,2,62.0,16.0
919,2,62.0,16.5
920,2,62.0,17.0
921,2,62.0,17.5
922,2,62.0,21.0
923,2,62.0,21.5
924,2,62.0,22.0
925,2,62.0,22.5
926,2,62.0,23.0
927,2,62.0,23.5
928,2,62.0,24.0
929,2,62.0,24.5
930,2,62.0,25.0
931,2,62.0,25.5
932,2,62.0,26.0
933,2,62.0,26.5
934,2,62.0,27.0
935,2,62.0,27.5
936,2,62.0,28.0
937,2,62.0,28.5
938,2,62.0,29.0
939,2,62.0,29.5
940,2,62.0,30.0
941,2,62.0,30.5
942,2,62.0,31.0
943,2,62.0,31.5
944,2,62.0,32.0
945,2,62.0,32.5
946,2,62.0,33.0
947,2,62.0,33.5
948,2,62.0,34.0
949,2,62.0,34.5
950,2,62.0,35.0
951,2,62.0,35.5
952,2,62.0,36.0
953,2,62.0,36.5
954,2,62.0,37.0
955,2,62.0,37.5
956,2,62.0,38.0
957,2,62.0,38.5
958,2,62.0,39.0
959,2,62.0,39.5
960,2,62.0,40.0
961,2,62.0,40.5
962,2,62.0,41.0
963,2,62.0,41.5
964,2,62.0,42.0
965,2,62.0,42.5
966,2,62.0,43.0
967,2,62.0,43.5
968,2,62.0,44.0
969,2,61.5,5.5
970,2,61.5,6.0
971,2,61.5,6.5
972,2,61.5,7.0
973,2,61.5,7.5
974,2,61.5,8.0
975,2,61.5,8.5
976,2,61.5,9.0
977,2,61.5,9.5
978,2,61.5,10.0
979,2,61.5,10.5
980,2,61.5,11.0
981,2,61.5,11.5
982,2,61.5,12.0
983,2,61.5,12.5
984,2,61.5,13.0
985,2,61.5,13.5
986,2,61.5,14.0
987,2,61.5,14.5
988,2,61.5,15.0
989,2,61.5,15.5
990,2,61.5,16.0
991,2,61.5,16.5
992,2,61.5,17.0
993,2,61.5,21.5
994,2,61.5,22.0
995,2,61.5,22.5
996,2,61.5,23.0
997,2,61.5,23.5
998,2,61.5,24.0
999,2,61.5,24.5
1000,2,61.5,25.0
1001,2,61.5,25.5
1002,2,61.5,26.0
1003,2,61.5,26.5
1004,2,61.5,27.0
1005,2,61.5,27.5
1006,2,61.5,28.0
1007,2,61.5,28.5
1008,2,61.5,29.0
1009,2,61.5,29.5
1010,2,61.5,30.0
1011,2,61.5,30.5
1012,2,61.5,31.0
1013,2,61.5,31.5
1014,2,61.5,32.0
1015,2,61.5,32.5
1016,2,61.5,33.0
1017,2,61.5,33.5
