,msl,olr,sm1,t2m,tp,z500
1950-06-09,-194.89844,-21.824387,-0.016240746,3.0761719,-0.00020211368,489.17188
1950-06-10,70.17969,-31.63475,-0.024766982,3.1915283,-0.00022911649,688.0039
1950-06-11,442.67188,-20.145905,-0.03609845,3.3687134,-0.00022723718,1085.0781
1950-06-12,447.90625,19.788864,-0.02031532,1.2641602,8.172254e-06,905.2031
1950-06-13,174.25781,12.339401,0.020265192,0.32214355,0.00018393736,457.17578
1950-06-14,-143.26562,14.9095,0.04848817,-0.9505615,4.6195055e-05,142.14453
1950-06-15,170.49219,-15.726212,0.030237168,-1.0655823,-9.277837e-05,309.10938
1950-06-16,71.234375,-1.9185028,0.040341824,-1.8834839,-8.516149e-05,165.61719
1950-06-17,-190.71094,25.145401,0.06754097,-3.1477356,0.0006877109,-261.65234
1950-06-18,-134.39062,11.055191,0.074919224,-0.7263489,0.00016078193,-239.46094
1950-06-19,375.29688,-19.26239,0.050191402,0.385437,-0.00021936915,354.9453
1950-06-20,258.2578,-34.525864,0.03398007,0.88845825,-0.00024205573,502.125
1950-06-21,-155.95312,21.169281,0.04197374,-1.8192139,0.00045444837,-28.664062
1950-06-22,-268.41406,-27.218704,0.064346015,-0.5279541,-0.00020983037,-355.3164
1950-06-23,-27.414062,-16.89064,0.056964666,-0.95022583,-6.458003e-05,-70.01953
1950-06-24,37.015625,-26.939072,0.03619197,0.49380493,-0.00023945743,188.19531
1950-06-25,277.25,-11.022217,0.02690342,-0.67022705,-0.00018696532,76.5
1950-06-26,284.4375,-5.136917,0.016635925,0.29257202,-0.00022566319,144.14453
1950-06-27,592.3203,-27.245453,0.0010719001,0.83251953,-0.00022953837,912.70703
1950-06-28,582.60156,-23.568588,-0.009021997,1.8869324,-0.00023263087,1322.1641
1950-06-29,466.4922,-43.81279,-0.020171314,4.0003357,-0.00023334984,1470.3164
1950-06-30,396.9297,-37.96846,-0.032399803,5.955017,-0.00022895665,1490.7812
1950-07-01,294.96875,-7.6810913,-0.033825457,4.691742,-0.0001988894,1259.0938
1950-07-02,155.85938,-2.62323,-0.027644455,2.791626,-0.00020075461,867.4531
1950-07-03,135.13281,-24.924225,-0.03601393,3.6188965,-0.00023955066,877.8008
1950-07-04,161.72656,-38.970627,-0.05264926,5.8993835,-0.00023964094,1209.0781
1950-07-05,-46.882812,-11.69902,-0.06536238,4.575348,-0.00022603312,819.46484
1950-07-06,-408.8203,-19.594986,-0.07427265,2.6929932,-0.00022522431,22.65625
1950-07-07,-358.5703,-22.395065,-0.08360113,1.8694458,-0.00022031806,10.1484375
1950-07-08,110.734375,-42.41339,-0.095287964,2.1479797,-0.00021831229,506.78516
1950-07-09,411.3203,-40.119324,-0.10491918,2.0021362,-0.00022056291,950.84375
1950-07-10,-92.09375,-1.4471588,-0.08368938,0.58380127,-0.00015420132,217.47266
1950-07-11,-311.5078,-34.693634,-0.031594634,0.23944092,-0.00021122891,-179.92578
1950-07-12,-249.92188,-32.90085,-0.053436488,0.84140015,-0.00020439413,33.3125
1950-07-13,-30.851562,-26.329742,-0.07047391,2.0150452,-0.00019876736,299.38672
1950-07-14,-140.54688,26.601501,-0.053925887,-0.1239624,0.00027924473,83.94922
1950-07-15,-376.97656,-31.486435,-0.0069545805,-0.13064575,-0.00019021056,-405.3711
1950-07-16,-271.0,-30.835266,-0.033314288,-0.14172363,-0.0002001898,105.37891
1950-07-17,-75.21094,-15.159256,-0.05419974,1.8030396,-0.0001944571,296.85156
1950-07-18,422.41406,-20.481583,-0.06810765,3.36438,-0.0001789684,726.89844
1950-07-19,599.7656,-6.6735077,-0.075025275,2.2173462,-0.00016642355,889.9922
1950-07-20,359.47656,1.1599274,-0.050327227,1.3271179,3.84929e-05,513.125
1950-07-21,94.46094,-27.343567,-0.053501844,2.9312134,-0.00018042605,473.27734
1950-07-22,-33.507812,-7.154602,-0.058191195,2.5473633,-0.00012851908,363.8125
1950-07-23,-372.66406,-5.61467,-0.061140046,1.7669067,-0.0001784501,194.82422
1950-07-24,-357.7578,-41.398163,-0.074468136,2.7102966,-0.0001886773,350.19922
1950-07-25,163.29688,-30.372955,-0.08775188,0.92282104,-0.0001911424,632.59766
