,t2mEurope_cluster1,t2mEurope_cluster2,t2mEurope_cluster3,t2mEurope_cluster4,t2mEurope_cluster5
1961-05-17,9.1552734e-05,-3.6859436,-0.5818176,-4.436676,0.30856323
1961-05-18,-0.62280273,-4.3095093,-0.20080566,-6.226837,0.4489441
1961-05-19,-1.3124084,-5.204315,-0.090911865,-5.763855,-0.39300537
1961-05-20,-1.6150513,-2.3737488,0.025878906,-3.9091187,-1.1173096
1961-05-21,-1.4290771,-4.221649,0.78430176,-1.0825195,-1.4496155
1961-05-22,-0.92529297,-4.2136536,0.67718506,-4.811432,-1.382904
1961-05-23,-1.1234131,-3.905426,-0.44799805,-5.2341003,-0.17160034
1961-05-24,0.27053833,-4.2500916,0.44625854,-1.1013794,-0.7886963
1961-05-25,0.092163086,-2.5411987,0.26669312,1.130127,0.94592285
1961-05-26,-2.2345886,-3.1662292,-0.5126343,0.3241577,-0.92355347
1961-05-27,-3.6701355,-2.9317322,-0.17178345,1.4275513,-1.9177246
1961-05-28,-4.1832275,-1.2765503,-0.06591797,3.1078796,-1.814209
1961-05-29,-3.072113,0.060699463,0.5823059,4.7058716,-2.4996033
1961-05-30,-1.7461548,1.2124329,1.1733093,6.756134,-0.27572632
1961-05-31,-2.0994568,-0.35510254,2.3938293,4.2843018,1.491333
1961-06-01,-1.1036682,0.83343506,1.5511475,3.9360046,1.7922058
1961-06-02,-1.430481,1.300354,1.045929,2.6859436,1.7904358
1961-06-03,-1.0370789,2.2242126,0.14083862,0.7951355,2.1765747
1961-06-04,-0.63830566,0.41207886,0.13757324,1.9664307,2.7361145
1961-06-05,-0.022888184,-1.3092346,0.7964783,4.1162415,3.9437256
1961-06-06,0.0014648438,-0.56225586,0.6595459,6.8706665,3.2453003
1961-06-07,0.27700806,1.7038879,2.0332642,6.6457825,3.2667847
1961-06-08,0.13699341,2.519287,2.0676575,6.8657227,2.7659607
1961-06-09,-0.5469971,2.7347107,1.1966858,6.492401,2.022766
1961-06-10,-0.13101196,1.842102,-0.06402588,5.295685,1.4083557
1961-06-11,0.051696777,-0.09420776,-0.6437073,6.0808716,0.9794922
1961-06-12,-0.45269775,0.4958496,-1.0629578,4.960907,-1.1472778
1961-06-13,-1.1870117,2.336914,-0.92996216,6.5980835,-1.1252441
1961-06-14,-1.8782349,4.5079956,-0.49050903,5.541168,0.30343628
1961-06-15,-0.2592163,1.3041992,-0.08441162,6.076172,0.8430786
1961-06-16,0.9959717,-0.39620972,0.31402588,5.0765686,0.39614868
1961-06-17,1.0534668,-0.7522888,-0.37716675,4.71756,0.20700073
1961-06-18,1.010315,0.056915283,-0.614563,4.2132263,0.2992859
