,z500Europe_cluster1,z500Europe_cluster2,z500Europe_cluster3,z500Europe_cluster4,z500Europe_cluster5
2005-03-27,-129.10463364651883,480.33846126320225,2982.7369480443213,201.2587894148958,-402.6037747795675
2005-03-28,-277.9146514817574,380.8132430917652,3044.089767354877,390.2292868406522,-152.43554783702717
2005-03-29,166.27740155331875,186.02559270126514,2874.6681001342413,627.1867943176909,33.63959978230595
2005-03-30,602.5145018728042,-166.25260381330912,2685.859072024158,803.3843425793242,1091.9286305372582
2005-03-31,1284.6410288960374,-466.0842639808864,2603.556519648236,787.6733030316774,1875.4471822054184
2005-04-01,1657.3700908050573,-519.1863839188991,2081.900936560396,558.0587168694157,1923.1157011386574
2005-04-02,1616.166858263233,-431.450120402892,2109.3835833291337,489.2793362779471,1462.498221683523
2005-04-03,1706.9325845826754,-96.74539992311479,1379.0941298108232,683.6012671287863,1117.6648695961776
2005-04-04,2212.676525133897,460.0805337244644,-392.08415297833636,951.8269384709126,618.692580570367
2005-04-05,1414.4883668117702,814.2674246534807,-1604.2849765108017,1084.6810497596318,569.9220734551348
2005-04-06,44.85400197425711,745.5658744904496,-1641.5702215802535,1086.1339230288868,-597.4644729832212
2005-04-07,222.61740184175494,587.4746990012474,-2292.228353616317,620.8879026257005,-1690.1362514153166
2005-04-08,190.7453064428289,536.8803667026327,-1890.6218241791373,-117.00283208604434,-1010.1872656460333
2005-04-09,351.21244396062065,716.7457984429761,-1215.8777997576515,-433.6750629200276,815.5816080505051
2005-04-10,556.1274023612435,1030.055790332713,-659.0040904750833,-136.86621038719997,2077.1666606391377
2005-04-11,332.93362591593484,1079.9317477211632,-331.17681514027316,238.1728871684179,2476.621242404175
2005-04-12,644.1226829552144,862.6534016171927,-1715.4202197248849,217.08584980141654,1329.7755117973577
2005-04-13,291.27321706334214,495.8077707851846,-1947.8798053527926,-116.74363287667101,-1077.4913857357167
2005-04-14,333.7907337421439,139.36516606218473,-1057.8195221452556,-345.7840481389583,-2114.1592090121685
2005-04-15,706.9419555516326,-63.10309969097374,345.50072295909075,-443.94819288579583,-1145.132841764999
2005-04-16,595.9095036451182,7.8691663683623325,1382.3623838723906,-490.0058689876071,-311.04632313119004
2005-04-17,-130.75334676590163,-88.4788989839665,884.1253251195008,-498.6808369722091,-1542.0531381907758
2005-04-18,-931.0536322209565,-296.41285286095984,776.516871082101,-496.8225889594828,-3163.0344497006013
2005-04-19,-1660.1445682039987,-209.59688158520765,1377.218657194296,-337.67801024134815,-2030.8463946072993
2005-04-20,-2123.0439393190404,87.48606460126365,2058.5246793595693,-24.906981070372186,-255.1674072343764
2005-04-21,-1980.022920641097,263.74752487507703,1811.3538533376106,190.12703787331253,400.75136610485816
2005-04-22,-1075.192154160551,141.58628258576397,1278.2731487157982,206.79652274401926,-765.3057429042628
2005-04-23,-445.15775433486056,86.88682126998819,1105.794983645568,195.01689752844337,-1171.9711041101777
2005-04-24,-467.81813480353856,373.5425049540016,976.2010648112441,238.60320190088385,-892.1258183288287
2005-04-25,91.90730806761034,576.8860576326161,1014.1878839733826,407.29363124039355,-819.0265514228478
2005-04-26,499.88213140118575,487.35937021315755,983.1619297845341,662.6940978970778,-1428.58692983986
2005-04-27,591.4754081456609,379.2816421703295,592.0946225237545,903.8152025133716,-931.2636465602952
2005-04-28,546.5310872171948,155.47693073303458,504.5258422744533,1130.4505072782015,295.7221716064262
2005-04-29,701.2751831884739,-332.22116442723825,53.97941627881966,1125.0462244265514,1056.2574537124326
2005-04-30,227.70919739084118,-563.0887314978467,-471.51102106152996,918.4831639885057,606.6641946402585
2005-05-01,-269.9479763424104,-437.36622906409934,-502.8384433989288,832.1841840499868,-343.55039725095594
2005-05-02,-28.39069549800238,-259.1134890301003,-384.754382758733,1072.7458799391948,-441.00944981064225
