,olrWorld_cluster1,olrWorld_cluster2,olrWorld_cluster3,olrWorld_cluster4,olrWorld_cluster5
1950-09-20,-19.545425,24.75737,-0.50367737,-6.8056335,-2.1629944
1950-09-21,-20.105957,0.5113983,6.8884964,-0.34268188,19.28482
1950-09-22,12.244385,0.8691559,8.127548,-14.405975,5.603363
1950-09-23,-8.525604,15.570099,9.248222,-32.843323,-1.7407532
1950-09-24,5.3701324,7.9653473,9.793182,-21.292068,-6.2915955
1950-09-25,36.545425,-17.552155,5.0979767,-48.676376,-7.9549866
1950-09-26,-6.590454,-3.6998901,-4.614807,-31.215775,-9.904358
1950-09-27,0.41844177,17.11905,-5.713318,-11.722137,-7.192108
1950-09-28,14.384338,15.897812,-4.135849,10.35025,-15.223877
1950-09-29,-5.4956512,10.380539,-6.5455933,-28.449005,-12.549713
1950-09-30,13.853226,-16.503098,-10.388107,-6.296356,-10.470001
1950-10-01,-1.2710876,-7.9099274,-2.4865417,31.650436,-10.557098
1950-10-02,-2.1467743,-30.008316,2.9259949,20.725494,-13.970032
1950-10-03,-15.667908,14.857422,5.7405853,-24.031937,-7.5160217
1950-10-04,-14.763657,-46.989685,5.6620483,-34.66591,-5.2088623
1950-10-05,-2.3495636,-67.14076,6.436432,-40.383713,-0.9173279
1950-10-06,-9.528061,-48.86792,7.8290405,-4.20726,-4.0277405
1950-10-07,6.5543823,-26.908508,5.169937,-46.634995,3.5879822
1950-10-08,-28.166702,-34.013123,4.8713837,-42.73221,0.6395569
1950-10-09,-0.5206604,-25.90628,-2.4594421,-43.21118,-1.3367615
1950-10-10,-6.6752167,-8.223587,-1.2199554,-30.26027,-4.7367554
1950-10-11,0.8255768,2.36438,-3.458786,-52.04854,-11.814209
1950-10-12,7.2502136,24.451431,-0.451828,-36.04625,-15.037933
1950-10-13,-11.735931,17.344223,-2.9891663,-18.362488,-5.6257935
1950-10-14,6.9583435,8.871719,-2.3427124,-17.396118,-9.340942
1950-10-15,11.200821,-19.284851,-0.7086334,-5.274933,-9.225708
1950-10-16,24.546677,8.841187,0.44644165,-5.829727,-10.009735
1950-10-17,14.590622,9.408661,-0.7263794,-40.969025,-14.603424
1950-10-18,10.259964,-34.391235,-7.5267944,-4.848282,-18.9375
1950-10-19,20.153961,-17.847336,-1.100769,-18.809097,-12.84845
1950-10-20,18.365753,-8.485489,-2.4605103,4.7457123,-11.210297
