,t2mEurope_cluster1,t2mEurope_cluster2,t2mEurope_cluster3,t2mEurope_cluster4,t2mEurope_cluster5
1984-01-17,2.1375523783915438,2.2762485283976295,0.13986540029276576,9.633005992832278,2.0025789203326863
1984-01-18,0.6723873298158323,2.832447916064426,-0.26254585194146973,9.828866462309566,2.114896034649232
1984-01-19,-0.9152802963695015,2.8756248949644387,0.07029533140752459,9.846428385234603,-0.9378005356753989
1984-01-20,-1.2413150050210418,0.869724951496001,0.4077112410680284,6.7186985666394,-2.707092189818196
1984-01-21,-1.683815107348381,1.3095590440173759,0.5331076122214495,1.467470753741599,-5.895798179709602
1984-01-22,-0.9611553780465408,0.7524977243998345,1.1087213940367335,-0.8751360936165491,-7.754914283768019
1984-01-23,-0.5134466419703134,2.065728362163873,2.121093253178995,0.08689639299397535,-6.068976590962938
1984-01-24,-0.8237788480558723,4.516953875179957,2.966911581946618,3.036538351391079,-8.519483910298991
1984-01-25,-1.558039148528823,3.549326436265786,1.8355935907524976,8.380752021887101,-11.157408586573485
1984-01-26,-1.9549709000478448,0.5735094215385428,1.0385596111766378,2.639515958300231,-7.518351917249554
1984-01-27,-1.034751900027883,-0.9399046167608451,0.11437060030831202,-1.5009203801588942,-5.967622088489589
1984-01-28,-0.5054862390595781,-2.2714274710739266,-0.323960948756777,-2.8622330522821384,-5.489520782053179
1984-01-29,0.044843051760482075,-2.762611158140022,-0.4780699006036282,-5.844108679196974,-3.0043628198777284
1984-01-30,-0.057182178897686946,-2.7553676430288916,-0.7005138326182275,-6.1663048177856625,-1.8064871403678244
1984-01-31,0.5986570271094597,-2.506037245823489,-0.42020113567188455,-6.816489767226989,0.6140471916970253
1984-02-01,1.4222069691187638,-1.9696912315801332,0.8951982671176976,-5.6082506351558505,1.3982304065588662
1984-02-02,1.375707546531553,-1.3207404480768818,1.135192459611051,-3.813305913539648,2.9214399425397684
1984-02-03,2.7456277300437555,-0.8318523626787424,0.6323111417253692,-2.6580883815662277,3.823126615366294
1984-02-04,3.885518270650138,-1.914648478073933,0.5385415048164168,1.245689371545479,3.6974266331875825
1984-02-05,2.93055046330039,-2.86328436787628,0.9081142540884826,1.0550655211839906,6.703329544295372
1984-02-06,2.473785748946911,-2.2994215625478063,1.359465141690939,1.7446148957997032,7.095913914172601
1984-02-07,3.140337154912195,-1.8064941174187257,1.4136207792019002,1.020558272910477,4.7355786850868595
1984-02-08,2.33215596564392,-0.9228101068754162,2.4368830286825935,1.1985685113783602,0.8898501969258246
1984-02-09,0.22445438996327222,-1.4687507741295902,2.7991716793629102,0.5533109905666653,0.7252245694539617
1984-02-10,-0.6427313496327077,-2.239327668738768,1.02859341901763,-1.2551669792925892,-1.1496284635445053
1984-02-11,-0.6200712804547208,-3.0586412049098843,-0.2358404273796874,-3.5047932048782457,1.189334647245418
1984-02-12,-2.652776694364685,-4.170126313399231,-1.0817028742091066,-1.7601606100608942,8.220134051151438
1984-02-13,-4.699249690722425,-6.1066073691211855,-2.0505652820037747,1.876955833835017,8.911395378409665
1984-02-14,-5.905356796345304,-6.78709386326646,-2.3491430087314216,3.2950254314435212,7.313741996297615
1984-02-15,-6.748463971174525,-7.233687462441666,-2.592032318201077,0.5796916774021892,4.928678100313409
1984-02-16,-7.256136625817457,-6.332524430195423,-2.773797048132229,1.0723428682037361,3.431268158128834
1984-02-17,-6.787964051036603,-4.908698122045752,-2.9093277870619016,0.03348231133139408,1.9933678344965067
1984-02-18,-6.148599773932273,-3.361939461169375,-2.37421429222847,-1.2509317623613516,3.2361167970900087
1984-02-19,-5.3562955142181865,-2.14477487838666,-1.616641574431462,-2.2146113871216837,3.6753198362281068
1984-02-20,-3.598164656699542,-2.4024673936874006,-0.9530177751211208,-2.5690268090680233,1.0861646996364078
1984-02-21,-2.168766445525597,-2.972095814084958,-0.6896197434389005,-3.5225807806687883,-0.5197614173082921
1984-02-22,-2.3888921502661393,-2.806530359054794,-0.5151518845761613,-5.69878413714406,-2.8127445161253855
1984-02-23,-2.244554427327626,-2.468928113873028,-0.6331575206541777,-7.500869352611026,-4.91057033659049
1984-02-24,-2.275358951270971,-1.7553801227993857,-1.0188319556076295,-7.5173983319287,-2.310271059203794
1984-02-25,-2.2289559925448486,-2.0758173653559187,-1.6765147959929683,-5.279765246997696,3.854005070282311
1984-02-26,-2.1704209441986992,-2.594548017089842,-1.8068401662244205,0.5795806695177266,7.314318207814917
1984-02-27,-2.145184004125356,-3.4188675950574514,-0.5462510557708716,1.0241406793334886,5.172528353446507
1984-02-28,-2.0731439030501857,-2.9106334338723303,0.9957961358420967,-1.922496269252795,4.501083544910473
1984-02-29,-1.4669880917294127,-1.96037419722994,1.1050766616306993,-1.0167247632835699,4.30533536999837
1984-03-01,-1.378697835095601,-0.6962828534451441,1.1424826693446883,5.418142063805847,3.3685763678986
1984-03-02,-1.5267143534108614,0.17529248121642613,1.6372599268961858,6.727648509057377,-2.0796922193617164
1984-03-03,-2.611767551528816,0.770415993233637,2.5916392399981962,2.904357431546032,-3.5357866606109303
1984-03-04,-2.690419719605895,1.5244787237263255,1.8162914422843817,4.9196369937147795,-0.3521895998112804
1984-03-05,-2.2986271144838546,1.9328600795779927,0.4357231228348413,5.999036540942702,4.280548809991009
1984-03-06,-0.8130912280714294,1.2230899113639784,0.15203071696652157,6.824174995425602,3.508319477485112
1984-03-07,-0.3753152430867496,0.5679724324746589,-0.6594681235547882,6.36463211346276,3.0701785018978356
1984-03-08,-2.6748617292836356,0.18159013915832853,-1.4670613197595437,3.9379027155329482,1.1627694202076604
1984-03-09,-5.1877787083530045,-0.9084058530316437,-0.8120154916745194,2.288001835124359,0.7780418004262484
1984-03-10,-5.692540364211095,-0.7038641365648043,-1.1565633991071176,0.8145047116953725,1.150854293676854
1984-03-11,-4.824307385928387,-0.27969469889374127,-2.3647361515353746,-0.010976164909927174,-0.6580802636352415
1984-03-12,-4.377327334657938,-0.47112002043952556,-2.691155320023425,0.1403007515203318,-1.4443013299111191
1984-03-13,-3.861010085109298,-0.6988894288562529,-3.3435234040243174,0.5794842268208621,-1.3285173482701922
1984-03-14,-3.224678362861887,-0.8444825304617023,-3.9514396583893037,0.5043990405731646,-0.0008228923738648024
1984-03-15,-3.539564653905444,-1.0943915555019863,-4.605026195083025,0.0760132264445937,-0.9961553599056036
1984-03-16,-3.4189575114196424,-1.5206068560837374,-3.800714050750563,-4.152701125700155,-3.5730089621081245
1984-03-17,-3.6233401553152293,-2.3958106883650365,-2.2796795946298944,-9.682765940780454,-5.394586028338516
1984-03-18,-4.151460479433542,-5.286055912478787,-1.7409147103710156,-10.922587506539875,-6.596934063247984
1984-03-19,-5.412214343433301,-7.292960418014841,-1.5487633203022984,-11.710204552354238,-5.12241730846349
1984-03-20,-5.385990443658675,-7.693709631449103,-1.4430749967844134,-12.019900436377647,-3.8737221881785775
1984-03-21,-4.1927454249076925,-6.911116347785251,-1.0839374127629207,-12.02838197795476,-3.6381319065976556
1984-03-22,-3.5918227746248435,-5.23207751944567,-0.7123900707636207,-10.839266524138049,-4.406867965485688
1984-03-23,-3.1909434986016914,-3.731369979047103,-1.226367633009136,-11.146008227752924,-5.586697245548271
1984-03-24,-2.7709640549147174,-2.4251218467030697,-1.463347863497765,-11.217070957823315,-7.348186300603476
1984-03-25,-1.4599373682211498,-2.0282066115992157,-1.384674648147633,-10.716918162398345,-8.315145341761848
1984-03-26,-0.8547676480809498,-1.3968399611874138,-1.3612396319159779,-8.159605463956977,-6.967455106652472
1984-03-27,-0.2009602406856993,-0.6765180824728525,-0.554519538721491,-5.3389748570536915,-5.539205452509256
1984-03-28,0.8528585180661232,0.12831195216326427,0.4654743363491151,-1.341641280594055,-3.4325771486199637
1984-03-29,0.36782285295958794,1.4518906244790024,0.7780546125564769,1.218890368036424,-2.8809963907275886
1984-03-30,-1.8532553093832382,1.7109851323879262,0.8901670790976004,2.0498630317550526,-2.0120870973399585
1984-03-31,-2.977615307382101,0.4579787010971815,1.2711682520375502,4.116455607283113,-1.8288344039288886
1984-04-01,-2.5985410097084203,-0.5967961423576156,1.0314033913696155,4.031132957246369,-1.4013879313205038
1984-04-02,-3.078504750930387,0.8635294387172734,0.2427536365112962,3.4249502253353206,-1.3009389003753589
1984-04-03,-3.275205495642767,2.1331412786286386,1.3578769527723815,2.9487805065192325,-1.7067405393415633
1984-04-04,-3.40207332384167,2.755658403153212,1.921341763401237,3.239110564203833,-0.22906045342908307
1984-04-05,-2.7866483811458513,2.94637280324328,1.5642432270877393,4.2335397956887615,1.9919273822583552
1984-04-06,-1.3958821849481349,2.981232061907845,1.305435922505808,5.023039292128222,2.5107137323310793
1984-04-07,0.0522130399465146,2.906288259919472,1.5804118091295585,2.450955177105766,2.2697976320474402
1984-04-08,-0.22924568155930747,1.7821762846561227,1.3256954345114853,1.6119524058509236,2.5616497167341548
1984-04-09,-1.0339719436630355,0.7037766341681364,0.3545483437829113,-1.2807232361744822,1.019106274245059
1984-04-10,-1.1875002241370838,0.561612782723566,0.5898198569315023,0.9507347225123252,2.457210851345828
1984-04-11,-1.1824254874385947,1.1383419828701389,0.5210736693609624,0.009098575551762716,0.38088852685612024
1984-04-12,-1.1098871847169471,1.3316632808290412,0.3829140338504553,-2.417274472104306,0.1299671683256624
1984-04-13,-0.6051239974805703,0.7124280216976526,0.5946693038562952,0.8326277397602231,0.8438658079646154
1984-04-14,1.0048062094845298,0.9800993267396568,0.7489286189849026,3.4280055591105443,1.5062115206847624
1984-04-15,2.126839989614924,1.998749320841829,-0.06175059604336543,3.761673201654206,1.3609558369276333
1984-04-16,-0.08719587391666857,3.003420658445065,-1.778122769913622,8.315925195057192,1.8665122511297199
1984-04-17,-3.1135172450683166,2.756012775118225,-2.0350146011171266,9.432038566483637,1.378420932060478
1984-04-18,-2.1825791880256817,0.6530289111079205,-0.6218802782784734,3.88124378887905,-0.01682494810394327
1984-04-19,-0.9734060106088059,-1.4347944042728058,-0.5634167334978685,-2.8764595613305586,-1.9850249509142532
1984-04-20,0.6647282353858733,-3.172964301606954,-1.1948355496477079,-7.0612163655336735,-1.355837318162252
1984-04-21,2.1956064176581145,-4.1744951078632395,-2.1572068660440165,-6.534183159588194,0.28663489385537677
1984-04-22,3.1219532411989395,-4.46993546414895,-2.5968281260473183,-2.707766483819191,1.4003485507221136
1984-04-23,3.0411033992314005,-3.5507161828298823,-2.6572911762757383,-0.731545991500076,1.389802139198577
1984-04-24,2.3380531166975076,-2.5851738988932866,-3.011322843826449,0.9536631910814977,1.7633424866458476
1984-04-25,1.7491226901902586,-1.896573112746055,-2.600728161036203,-1.7400208384155307,0.11438794490019213
1984-04-26,1.3301884856684563,-2.74462370539042,-2.0907549733581363,-6.346338698312824,-1.6290052362650258
1984-04-27,-1.4102400774070454,-4.646213994459325,-1.7529812703697838,-6.287929160526424,-0.5547788197177558
1984-04-28,-3.053118206961804,-3.150737462070508,-1.2770739873268433,-1.511197312100459,3.0027107812662073
1984-04-29,-3.4896560039673306,-1.9622481168819126,-1.410108248711679,0.6801953938920394,3.651892598916452
1984-04-30,-2.9674029650206903,-0.9234784651147037,-1.8612793097274776,2.5899593284396425,4.172616416078099
1984-05-01,-1.5989641439914457,-0.0764028071045176,-1.5011105533694524,1.6289568247344524,4.161877083138141
1984-05-02,-0.09189350194550402,0.39947667827318095,-0.2409275781214656,-1.1294791586763306,4.7311734810460075
1984-05-03,0.42294465732901726,1.0838244306468319,-0.6642070490566166,1.8556255579456502,4.662785623200382
1984-05-04,1.3203813086656395,2.1898822316014326,-1.6208221845611093,6.73228349231706,2.9300222635521935
1984-05-05,1.2942152597994927,2.68631046661495,-1.6722966245052868,7.408312015894728,1.4962459120922984
1984-05-06,-0.02573498766230089,2.555645233070834,-1.0628198527567791,5.1665251097764875,-1.027029424015448
1984-05-07,-1.9801241509130232,2.134613488614217,-0.9276160487872525,5.239478424876266,-2.5381621760757485
1984-05-08,-4.558947223788877,1.3007610515649821,-1.2488184865444452,4.138865655550767,-4.633256069834447
1984-05-09,-6.139862431145698,-0.6386418106817625,-2.1535549862786154,-0.4168850673635942,-5.860197666081937
1984-05-10,-6.255812317164057,-2.021041942256905,-2.014762870640327,-7.269502988182926,-5.181937317245737
1984-05-11,-6.388634240802225,0.3355902022768136,-1.4765415587228026,-8.069833807297583,-2.7791336242862457
1984-05-12,-6.1947968799739135,1.0655459361733262,-0.49581986227081093,-5.094151531225773,0.05026822268727047
1984-05-13,-5.408346780967535,1.433462368727112,0.06736938271019782,-1.2631486907013578,1.9834930804377853
1984-05-14,-4.427622760773536,2.45061042284464,-0.9802022656713022,3.3116252227556453,3.275853180317046
1984-05-15,-3.569111605570097,3.0811269814432385,-2.329607181451753,7.438768853182303,4.534409345072197
1984-05-16,-1.762899664492346,3.631069722546465,-2.0408486562345494,11.799401175079407,6.01933936663844
1984-05-17,-2.0642716276389113,3.677188969648248,-0.8960340471053316,14.094576848095382,7.57201868440069
1984-05-18,-1.8454031400769273,3.076072176494394,-0.28368214692758476,11.596701983583586,7.0025263170379874
1984-05-19,-1.4384058374005002,2.6079073656326037,-0.9249138848190988,10.77821274166768,5.548996178512238
1984-05-20,-1.0430112751765939,2.9274979696360637,-1.8137175026925014,10.438950264697514,2.9020259484126365
1984-05-21,-1.9791001611039527,3.2956836932420996,-1.7537518850519256,9.614603928324676,4.85900914564309
1984-05-22,-3.2597778973334144,3.0556546714548767,-1.0175442857088952,6.856567213929285,5.7138945559470296
1984-05-23,-3.659441610059499,3.2429984257473783,-1.14683856333625,6.58888891523085,4.376394358815349
1984-05-24,-3.600370898158579,2.965468950643702,-1.594576319178646,7.746132604058511,2.3655204476560376
1984-05-25,-4.116400971239374,2.355695850680651,-1.3761718490155217,8.918516586903088,3.7804960074640825
1984-05-26,-4.258244743139062,0.8158777232916615,-0.8110987829384042,9.001895927182641,6.372832002965072
1984-05-27,-4.047167319699552,0.7095224431801237,-1.1820798517276525,6.553723284241314,7.715760700895573
1984-05-28,-4.579029779079786,1.491922851640123,-2.7407094367246687,3.900534357573061,7.592204198861938
