,mslWorld_cluster1,mslWorld_cluster2,mslWorld_cluster3,mslWorld_cluster4,mslWorld_cluster5
1950-07-02,268.96094,914.78906,646.46875,-2206.7344,-78.09375
1950-07-03,79.953125,1348.625,89.25,-2728.0625,-46.390625
1950-07-04,134.11719,1287.4609,-354.8203,-2388.3594,81.85156
1950-07-05,37.960938,962.09375,19.429688,-2201.3438,169.34375
1950-07-06,16.257812,1181.1719,205.57031,-2606.0078,88.21875
1950-07-07,-1193.0234,1344.9297,22.984375,-1944.4062,-26.726562
1950-07-08,-2233.8906,1140.8359,72.57031,-59.882812,37.765625
1950-07-09,-1178.4766,762.4375,293.46094,-839.53906,0.3359375
1950-07-10,-1008.9844,-254.59375,368.21875,-3184.0078,12.40625
1950-07-11,-1128.6094,-175.54688,197.84375,-1819.0312,129.0
1950-07-12,-1293.5859,-822.1719,-112.80469,-941.25,30.976562
1950-07-13,-579.3594,-688.2422,-306.96875,-1003.4922,5.4296875
1950-07-14,-223.41406,-588.4219,624.08594,-1086.6562,79.453125
1950-07-15,-508.51562,-706.0469,1425.3984,-575.6719,150.22656
1950-07-16,-1121.0391,-40.304688,1547.5,-1681.8125,160.19531
1950-07-17,-770.1094,714.58594,1757.5156,-1679.1016,56.664062
1950-07-18,-696.2578,989.10156,1931.2109,-135.57031,-89.19531
1950-07-19,-816.5,301.625,1767.0312,1155.2266,-53.53125
1950-07-20,-857.85156,1057.9219,1758.1094,1759.5547,2.96875
1950-07-21,-886.28906,351.6797,1432.5234,-66.578125,-24.929688
1950-07-22,-225.03906,73.17969,768.375,-2844.0547,-140.48438
1950-07-23,644.8047,-511.08594,167.85938,-3298.4219,-161.0625
1950-07-24,657.90625,466.3672,507.28125,-1314.3984,22.296875
1950-07-25,285.1953,583.46875,704.5703,-1402.4922,91.4375
1950-07-26,20.296875,1270.2031,515.6875,-1586.4922,27.851562
1950-07-27,-197.78906,939.3203,441.60156,-1245.3438,37.007812
1950-07-28,-41.46875,443.8203,-29.570312,-773.02344,-23.421875
1950-07-29,17.195312,258.6172,-162.98438,-419.0,-47.046875
1950-07-30,93.6875,-302.10938,-524.6328,198.40625,-151.9375
1950-07-31,-31.3125,-764.39844,-708.65625,-398.3672,-66.53906
1950-08-01,20.851562,-402.39062,-337.22656,-562.6172,-12.6171875
1950-08-02,232.72656,-474.39844,85.609375,-913.1719,74.64844
1950-08-03,62.6875,-222.5625,800.2422,-1739.3125,80.44531
1950-08-04,273.14062,172.08594,938.9375,-3377.8906,49.960938
1950-08-05,-108.1875,338.08594,697.3125,-2687.1016,79.765625
1950-08-06,-161.28906,340.07812,265.39844,-517.9531,18.039062
1950-08-07,68.359375,267.70312,-48.601562,-892.71094,-11.34375
1950-08-08,-369.10938,218.70312,342.33594,-113.71094,-53.710938
1950-08-09,-484.9297,-711.4219,55.070312,-938.71875,-90.08594
1950-08-10,-111.015625,-1408.0547,-389.3672,-185.85156,-112.96875
1950-08-11,483.8125,-978.875,-1307.1328,1065.7188,-96.171875
1950-08-12,534.77344,-1007.8672,-1434.9844,1077.1328,-99.65625
1950-08-13,498.42188,-1030.7734,-1177.0781,1345.0547,-122.34375
1950-08-14,755.77344,-922.0703,-797.39844,2083.5234,-169.48438
1950-08-15,304.22656,-353.22656,-721.53125,2911.6172,-76.984375
1950-08-16,74.609375,318.51562,31.414062,2426.875,20.796875
1950-08-17,1117.0703,-359.14844,-208.21875,1929.3438,-28.890625
1950-08-18,1251.7656,-1307.3984,-913.60156,313.85938,-101.25781
1950-08-19,989.3828,-142.69531,-7.421875,2078.1094,-54.929688
1950-08-20,490.9375,-258.33594,293.75,2679.6328,-88.9375
1950-08-21,-74.125,-95.796875,1182.8047,3313.125,-119.9375
1950-08-22,-473.71875,-695.10156,1669.1641,1709.7188,-120.24219
1950-08-23,-1384.4375,-1141.9609,1800.7578,1030.1797,-100.203125
1950-08-24,-1660.4766,-1391.3125,2067.6094,153.57031,-73.74219
1950-08-25,-521.4922,-1463.4062,2144.3125,-2626.4688,-92.15625
1950-08-26,-267.83594,449.2422,1473.0547,-2192.2188,-85.94531
1950-08-27,-126.61719,1312.2656,1226.2812,-2215.7266,-43.898438
1950-08-28,-270.42188,482.39844,1322.3984,-2050.7734,48.726562
1950-08-29,11.0234375,280.91406,928.1797,-2656.0,23.773438
1950-08-30,589.71875,167.83594,40.070312,-471.48438,39.1875
1950-08-31,894.5156,0.8828125,-723.7578,711.6328,56.3125
1950-09-01,1158.5391,-128.32031,-928.4453,1234.7109,-35.617188
1950-09-02,810.6094,-1768.5547,-1122.25,115.40625,-170.89844
1950-09-03,269.78906,-1561.6641,-902.84375,-1641.5469,-30.273438
1950-09-04,320.6328,-685.71094,-1266.9531,-2832.3828,83.03906
1950-09-05,394.21094,-440.10938,-1071.9922,-1150.6719,91.72656
1950-09-06,698.875,-96.546875,-346.3047,-445.02344,15.8125
1950-09-07,1103.125,-753.65625,-110.625,-1666.5312,39.828125
1950-09-08,723.10156,-1550.1797,435.78906,-1323.5859,6.6640625
1950-09-09,-146.63281,-1488.2188,596.3594,-1205.0,-87.765625
1950-09-10,-616.4219,-944.7656,466.8672,-2026.8984,-106.5625
1950-09-11,-67.63281,-165.875,-212.83594,-711.0781,-160.375
1950-09-12,497.46094,192.00781,-146.92188,-1111.875,-54.101562
1950-09-13,994.4219,314.71094,-242.59375,-217.28906,94.0625
1950-09-14,1112.75,483.5547,-544.8203,224.35156,119.88281
1950-09-15,1053.9688,712.33594,-309.53906,-23.078125,96.3125
1950-09-16,1074.7578,1327.5703,-133.40625,236.29688,37.921875
1950-09-17,675.59375,867.78906,299.6875,125.796875,158.17188
1950-09-18,-12.125,292.6328,-90.546875,-600.9922,117.484375
1950-09-19,-1550.3047,-315.1875,-88.35156,-336.10938,70.92969
1950-09-20,-1383.8984,-286.8125,115.50781,-330.35156,15.875
1950-09-21,-861.14844,-633.4219,-477.78125,-474.98438,66.60156
1950-09-22,37.21875,-1308.1719,-137.17188,-865.41406,55.65625
1950-09-23,303.4375,-1538.0547,393.1797,-1722.8984,34.601562
1950-09-24,-212.17969,-901.78906,-34.546875,-1684.7109,34.414062
1950-09-25,-452.4922,358.65625,-664.5,-2388.6406,-69.8125
1950-09-26,-601.47656,904.83594,-924.6797,-1731.8047,-21.734375
1950-09-27,-611.8906,638.7656,-985.78906,-2284.3125,9.5703125
1950-09-28,305.9375,1311.375,501.8125,-2050.586,71.46094
1950-09-29,383.53906,1038.9297,965.6719,-651.71875,113.41406
1950-09-30,-862.1953,456.875,394.9453,-640.78906,33.523438
1950-10-01,-487.27344,-168.70312,120.359375,393.82812,56.265625
1950-10-02,-356.03906,63.742188,268.5547,2504.336,229.4375
1950-10-03,-1694.3984,846.66406,982.35156,-225.73438,247.8125
1950-10-04,-364.85938,615.84375,987.40625,-307.03125,105.64844
1950-10-05,466.29688,-557.25,322.625,-986.08594,59.164062
1950-10-06,140.57031,-111.32031,-634.5156,-2129.5703,30.867188
1950-10-07,302.7578,457.96875,-737.6875,-2212.086,-30.179688
1950-10-08,704.46094,695.7422,93.1875,-751.8047,52.570312
1950-10-09,396.875,706.25,337.48438,155.07812,47.085938
1950-10-10,-610.8828,581.125,236.64062,837.8125,-21.40625
1950-10-11,-1640.1172,162.90625,-103.4375,-296.14844,-21.617188
1950-10-12,-1747.6797,365.01562,-680.1875,-559.9453,62.117188
1950-10-13,-893.0703,534.78906,-229.82031,1134.3828,88.07031
1950-10-14,-1463.8516,970.6719,582.9219,644.77344,-71.11719
1950-10-15,-1257.9297,1236.5156,-165.57031,11.875,-80.19531
1950-10-16,-189.16406,557.1172,-850.46094,-693.9844,-98.84375
1950-10-17,-157.125,77.27344,-400.21094,-486.57812,36.3125
1950-10-18,309.64062,-200.85156,433.60938,-1343.9375,-54.132812
1950-10-19,906.83594,-45.601562,699.3906,14.8046875,-89.63281
1950-10-20,952.5703,1034.0547,762.41406,1541.5078,-139.09375
1950-10-21,759.3906,1566.5469,767.3281,908.125,-107.83594
1950-10-22,527.0469,1216.6406,561.2344,134.1875,-74.99219
1950-10-23,729.89844,967.6719,-32.804688,-966.9531,-29.65625
1950-10-24,498.84375,340.60938,-286.89844,-1584.2656,-8.3671875
1950-10-25,-599.52344,104.84375,-170.21875,-1430.9609,-59.40625
1950-10-26,-2244.8125,399.97656,568.7031,-629.6406,-172.01562
