,olrNorth_Atlantic_cluster1,olrNorth_Atlantic_cluster2,olrNorth_Atlantic_cluster3,olrNorth_Atlantic_cluster4,olrNorth_Atlantic_cluster5
1950-08-06,29.715927,-6.6848297,-2.919281,6.435562,19.470032
1950-08-07,23.623215,-6.370682,1.4292297,19.484833,31.02974
1950-08-08,-13.829987,-1.8904724,-5.7215576,39.641922,-26.739487
1950-08-09,-7.7292633,7.619461,-6.42157,50.38649,-4.5184174
1950-08-10,2.3265686,-8.479462,-5.315033,-13.893326,13.677399
1950-08-11,18.141922,5.19635,-0.2236023,-20.930206,-10.08725
1950-08-12,-3.348175,8.24295,2.880371,-13.1996765,-10.298859
1950-08-13,-18.288437,0.3667755,4.5720215,-17.055267,0.9767456
1950-08-14,-13.687561,15.559326,9.987976,28.25119,-10.39978
1950-08-15,24.089859,-12.001617,1.3563232,42.378433,-6.484085
1950-08-16,68.56383,-9.956741,6.175873,-8.841187,34.49562
1950-08-17,55.320374,-20.545837,8.263611,42.830124,-2.0380554
1950-08-18,9.115173,-18.709442,3.157135,45.02054,7.465103
1950-08-19,-21.64116,-6.949341,1.1343079,20.175003,2.2489471
1950-08-20,-26.216843,12.188385,8.00415,2.987091,-24.726715
1950-08-21,-21.325882,-20.752167,5.08197,14.566208,-6.723831
1950-08-22,-11.863007,-1.4651184,-0.50912476,33.91432,-19.074081
1950-08-23,-2.6355896,-16.691742,1.0047913,9.01387,-6.9166565
1950-08-24,3.3343964,-7.0898285,5.491394,47.4144,31.991547
1950-08-25,36.264755,-11.359741,3.3363037,54.238342,9.311783
1950-08-26,70.87285,11.594315,3.8115845,17.351135,-21.971329
1950-08-27,41.24211,-11.789658,2.0894165,47.707153,21.892166
1950-08-28,39.90236,-3.2709656,-1.1445618,62.778778,14.766174
1950-08-29,-14.155029,32.103745,-4.545624,76.58978,16.15216
1950-08-30,-14.684631,15.118088,-0.6905823,47.01767,9.239777
1950-08-31,-30.775757,2.3721924,2.0329895,54.175858,-16.613373
1950-09-01,-27.66681,-5.694702,-1.0984192,49.07315,-24.01915
1950-09-02,-23.331024,4.636963,-0.014587402,16.727081,-10.590561
1950-09-03,-5.488495,-5.76915,6.1415405,16.382095,4.8771057
1950-09-04,13.227142,-4.6345367,-4.4423523,36.145447,-10.853699
1950-09-05,2.2746277,-4.946518,-6.631195,-10.969986,16.526978
1950-09-06,1.1834106,-9.122818,-2.0062866,-3.4297333,-13.271194
1950-09-07,-13.128571,-6.8427734,-1.0540466,4.897049,27.783676
1950-09-08,-20.765198,-9.655457,2.383667,29.584732,34.622543
1950-09-09,-12.441223,-4.038452,3.5027466,76.08148,-13.40596
1950-09-10,-18.90802,19.04094,-5.414856,15.354004,-1.6940155
1950-09-11,-24.786713,28.50801,-4.8871765,10.66069,1.8506622
1950-09-12,-27.802795,7.335449,-7.2678223,33.54625,-8.7234955
1950-09-13,-34.47769,-0.89637756,-6.348816,37.623703,6.8545685
1950-09-14,-27.67749,-0.7042999,-7.0185547,-7.8573,35.064255
1950-09-15,-6.9476013,8.195587,1.8624268,-18.12497,-1.1351471
1950-09-16,-15.590698,17.59256,-1.125824,-21.542694,23.210052
1950-09-17,-23.903687,4.116104,-10.039825,-26.639038,6.6531677
1950-09-18,-11.346283,5.641403,-6.5289307,-15.284973,-16.17366
1950-09-19,-9.239716,-12.330765,4.1259155,-22.083496,16.947647
1950-09-20,-18.592133,15.055954,3.3652039,-24.732025,-16.505844
1950-09-21,-21.6875,23.967316,1.1899719,-14.833984,-10.677658
1950-09-22,-22.6604,8.335602,0.92037964,-6.020294,38.183884
1950-09-23,-20.89853,32.147278,-2.495575,16.28862,38.717926
1950-09-24,14.91539,2.9635162,-7.9263,47.924576,4.341217
1950-09-25,31.912125,18.35765,-5.2858276,60.344162,7.524826
1950-09-26,33.47632,3.9879913,-4.0487366,27.678726,10.366165
1950-09-27,6.3480377,-8.225647,-8.871918,1.0593872,-1.0887146
1950-09-28,-14.037964,-9.687286,-13.366638,-6.66391,-1.3549652
1950-09-29,-31.975433,-5.1893463,-9.994873,29.137863,-4.5225983
