,mslEurope_cluster1,mslEurope_cluster2,mslEurope_cluster3,mslEurope_cluster4,mslEurope_cluster5
1950-10-07,-779.90625,168.74219,-3073.5703,32.851562,783.03906
1950-10-08,-1147.6719,6.4921875,-2746.0,-293.5625,444.9297
1950-10-09,-1287.2422,53.375,-1977.4531,25.6875,416.77344
1950-10-10,-247.74219,193.08594,-2092.9688,-425.96875,602.5078
1950-10-11,-438.5078,605.03906,-39.054688,1319.3047,195.16406
1950-10-12,194.92969,724.3594,1177.3203,1561.0,-342.7422
1950-10-13,1527.5547,363.5,-175.54688,335.01562,-580.4219
1950-10-14,1591.8125,-11.5625,-813.60156,118.140625,113.703125
1950-10-15,1346.4297,-174.67969,-391.65625,169.61719,800.9453
1950-10-16,798.3047,-72.765625,-984.9375,786.0078,1089.0547
1950-10-17,-275.125,152.69531,-1846.3047,646.5469,374.3203
1950-10-18,-1048.0469,188.98438,-455.6875,1179.3203,-1289.5703
1950-10-19,-198.00781,6.5703125,-1174.3125,1237.2734,-1625.9531
1950-10-20,-830.65625,51.609375,1697.7188,1353.9688,-1378.2188
1950-10-21,-157.85938,32.570312,2131.5781,1321.7031,-1918.1484
1950-10-22,647.0625,-181.30469,1382.2266,1045.9219,-780.875
1950-10-23,1239.2266,-487.04688,1641.1172,1024.0078,-157.57812
1950-10-24,1737.9141,-565.4297,1522.8984,878.7656,407.78906
1950-10-25,2239.5312,-580.9531,1306.4453,766.0469,818.25
1950-10-26,2641.3984,-555.3828,1504.5469,678.9219,1027.7266
1950-10-27,2883.25,-75.47656,1930.2656,510.82812,850.15625
1950-10-28,3027.5,-221.65625,2060.7344,727.47656,469.9453
1950-10-29,3195.8672,-454.71875,1606.6484,603.46875,1123.8672
1950-10-30,3039.9375,-19.3125,1208.5625,-56.148438,2002.3672
1950-10-31,2586.9297,338.53125,1155.0547,463.47656,2150.2344
1950-11-01,1596.5312,161.08594,1198.7891,341.96875,1864.8047
1950-11-02,1312.875,-11.421875,1805.2188,-289.3047,1386.9844
1950-11-03,2077.6016,-161.82812,2568.3438,164.23438,604.10156
1950-11-04,2125.539,-712.4375,2728.8125,833.6953,371.6875
1950-11-05,1649.1953,-1100.2734,2445.1016,938.96875,-260.6797
1950-11-06,1403.1172,-687.5078,2201.8906,697.4844,-1147.8828
1950-11-07,1436.1719,-307.33594,706.3125,823.78906,-2468.8672
1950-11-08,664.53906,20.765625,-2663.6797,-261.4375,-1618.6562
1950-11-09,294.0078,446.6797,-2368.3984,-230.61719,-474.96094
1950-11-10,152.00781,539.6719,-2078.2031,-1107.7266,-230.89062
1950-11-11,-212.5625,119.80469,-1583.2422,-1157.7188,-38.679688
1950-11-12,-1172.1953,-120.546875,-1956.3672,-1985.9844,-413.03906
1950-11-13,-1276.1016,274.3047,-2486.711,-2230.9297,-1279.0312
1950-11-14,-2786.125,136.60156,-2143.836,-1147.7969,-1403.0938
1950-11-15,-1858.6328,211.99219,-956.2656,-4.3125,-1653.0469
1950-11-16,-1376.0156,300.07812,-582.4844,-1157.4766,-1735.7578
1950-11-17,-1615.9688,190.125,-727.77344,-377.35938,-846.5156
1950-11-18,99.5,86.859375,-436.96094,-833.33594,-288.9922
1950-11-19,1037.0469,-172.52344,622.3203,-2184.7422,510.5703
1950-11-20,1813.9219,-170.17969,596.9531,-2659.3984,1173.7812
1950-11-21,2781.6719,-137.4375,832.625,-2684.7578,1549.2578
1950-11-22,1886.3438,-333.3672,1364.4297,-1886.7188,1749.6797
1950-11-23,943.9922,24.03125,918.2344,-894.08594,1359.1094
1950-11-24,-379.5625,215.42188,671.5703,-504.65625,562.65625
1950-11-25,-1117.1875,242.69531,390.07812,76.828125,216.14844
1950-11-26,-597.5078,325.14062,-195.99219,942.28906,-816.03125
1950-11-27,-857.46094,495.20312,223.70312,527.53125,-307.125
1950-11-28,-1068.4922,643.2656,381.20312,-1356.1094,-22.8125
1950-11-29,-1643.8047,451.28906,-691.7031,-786.8047,-1253.3047
1950-11-30,-1127.1562,136.45312,-3306.5703,-168.00781,-1497.0469
1950-12-01,-1578.6406,302.71875,-2214.1328,-1796.2188,-692.5547
1950-12-02,-3398.0938,-153.03125,-1075.8359,-1049.4062,-1063.8672
1950-12-03,-1808.3906,-357.5547,-696.0,-909.5781,-736.8281
1950-12-04,-1576.0625,-589.6797,278.28906,-507.54688,-970.8594
1950-12-05,-1287.5156,-854.83594,612.7344,209.92188,-997.46094
1950-12-06,-1395.1875,-1313.9062,-565.3594,209.16406,-604.10156
1950-12-07,-872.625,-1331.6797,-1009.40625,-896.3828,36.171875
1950-12-08,401.07812,-686.53906,-1396.7188,268.45312,608.125
1950-12-09,-155.5,-191.64844,-342.51562,652.21875,1142.8828
1950-12-10,995.52344,446.9453,-2905.3438,-783.4922,1066.2656
1950-12-11,-163.5625,61.25,-2353.1797,-1499.6875,286.84375
1950-12-12,-1185.5156,-226.69531,-246.01562,-908.7422,-278.07812
1950-12-13,-950.65625,-275.98438,-607.2344,-1490.8281,-493.35156
1950-12-14,4.328125,-989.03125,-1304.6484,-1704.1484,425.77344
1950-12-15,745.4844,-544.16406,-852.34375,-1259.2734,311.73438
1950-12-16,706.2656,-534.7969,811.0625,-591.3594,323.7578
1950-12-17,972.0469,-252.39062,993.3828,-399.28906,699.6094
1950-12-18,1399.2188,351.0078,-4.21875,-520.0469,856.96094
1950-12-19,1669.1797,143.53125,-257.0078,100.0625,904.0469
1950-12-20,1912.0859,-336.0,138.69531,84.75,1079.125
1950-12-21,2072.2578,-1109.2891,561.75,-419.9453,739.1719
1950-12-22,2299.086,-1530.1562,1398.0312,-1169.6875,391.22656
1950-12-23,1935.4531,-2078.4922,1990.9609,-426.09375,886.9922
1950-12-24,1779.7891,-1277.7656,2167.8516,166.02344,821.75
1950-12-25,1019.33594,-739.46094,2611.3906,684.4922,581.89844
1950-12-26,842.5078,-1201.0078,2832.4922,920.4297,19.21875
1950-12-27,1151.0703,-1142.0859,2284.8672,799.3125,132.67969
1950-12-28,841.39844,-1041.1875,2223.4453,879.0625,680.6719
1950-12-29,731.4844,-1105.4297,1635.8672,661.28906,157.30469
1950-12-30,518.9844,-961.91406,914.89844,-710.08594,-144.69531
1950-12-31,538.41406,-552.64844,159.63281,-1869.6172,335.6328
1951-01-01,859.96875,-323.39844,-90.00781,-3080.5781,211.05469
1951-01-02,1284.7422,-1109.8125,401.8828,-2564.211,151.99219
1951-01-03,1514.9297,-1364.0781,610.71094,-821.7422,714.0547
1951-01-04,148.35938,-157.375,95.984375,-1103.5938,869.7578
1951-01-05,-337.3125,211.75,333.41406,-1289.0,664.9297
1951-01-06,-141.96875,377.65625,963.46094,-1748.1875,-799.6094
1951-01-07,56.054688,221.125,814.64844,-787.78125,-996.5469
1951-01-08,-314.90625,-157.36719,409.78125,-941.9531,-1877.6641
1951-01-09,1.953125,-472.40625,333.7422,-656.52344,-417.89844
1951-01-10,352.0,-711.6719,98.9375,-1128.0938,-1213.0703
1951-01-11,111.27344,-626.66406,-2031.1172,-2818.4453,-312.21094
1951-01-12,27.625,-803.97656,-2742.9766,-3166.1875,-1172.9688
1951-01-13,-971.47656,-745.4922,-2531.6797,-2113.5469,-495.28906
1951-01-14,-1209.1094,-138.63281,-1884.375,-1291.3281,-539.71875
1951-01-15,-957.65625,399.40625,-364.28125,-231.74219,-625.64844
1951-01-16,269.1172,376.9375,879.6875,1200.6484,-696.4531
1951-01-17,490.89844,602.96875,-2538.7969,-281.5547,172.69531
1951-01-18,-802.8594,472.08594,-2475.125,-461.6875,-478.7422
1951-01-19,-1533.7578,90.50781,-67.30469,327.85938,-1384.9531
1951-01-20,-1493.3516,307.72656,1483.4609,344.0547,-2092.8203
