,tpEurope_cluster1,tpEurope_cluster2,tpEurope_cluster3,tpEurope_cluster4,tpEurope_cluster5
1950-09-29,-7.048354e-05,2.1354172e-06,-5.3992633e-05,-3.093531e-07,-8.731194e-05
1950-09-30,-7.5932534e-05,0.00016382248,0.00010169679,-1.3761314e-07,3.1670395e-05
1950-10-01,-7.3366995e-05,-2.9284798e-05,-9.326566e-06,-3.344384e-07,0.00028160022
1950-10-02,-5.1094466e-06,-5.54295e-05,-5.558456e-05,-6.638115e-07,0.00072150666
1950-10-03,9.981311e-05,-5.6322107e-05,-5.7449954e-05,-6.670409e-07,-0.000102326376
1950-10-04,0.00015314172,-5.9272104e-05,-5.7983798e-05,-7.082174e-07,0.000119201446
1950-10-05,-7.860684e-05,-6.085473e-05,-5.8472087e-05,-6.397239e-07,0.00028998542
1950-10-06,-7.720778e-05,-5.9036774e-05,-5.92838e-05,-6.810518e-07,-2.8289229e-05
1950-10-07,-6.818359e-05,-6.502212e-05,-6.1879364e-05,-6.826034e-07,0.00022348584
1950-10-08,-5.2683376e-05,-6.587753e-05,-6.419537e-05,-7.563224e-07,-2.5532667e-05
1950-10-09,-5.0051985e-05,-6.5770386e-05,-6.1710496e-05,-7.569745e-07,-9.9427634e-05
1950-10-10,-2.74897e-05,-6.168946e-05,-6.185362e-05,1.5604925e-06,9.580923e-06
1950-10-11,0.0001369733,-6.498846e-05,-6.236865e-05,-7.728867e-07,-5.8083548e-05
1950-10-12,0.0001414544,-6.682896e-05,-6.136511e-05,1.3014463e-06,0.0004879121
1950-10-13,-8.216468e-05,-6.7766174e-05,-6.042534e-05,-7.5209647e-07,0.0003451703
1950-10-14,-8.229125e-05,9.500373e-05,-6.186292e-05,-7.616409e-07,-0.00012565829
1950-10-15,-7.31106e-05,0.00035545655,-6.319405e-05,-4.015084e-07,-6.449725e-05
1950-10-16,1.7887935e-05,0.00014293627,-6.22744e-05,-8.049447e-07,0.00015844581
1950-10-17,9.062304e-05,-6.7618945e-05,-6.5836684e-05,-8.2168765e-07,1.7255836e-05
1950-10-18,-7.839496e-05,-6.740911e-05,-6.780854e-05,-1.1917255e-06,-9.353482e-05
1950-10-19,-8.191427e-05,-7.0026355e-05,-6.738165e-05,-1.2909946e-06,0.00019876607
1950-10-20,-6.1221996e-05,-6.9819864e-05,-6.651683e-05,-1.2575501e-06,-0.00012912546
1950-10-21,-4.800044e-06,-5.255858e-05,-6.771041e-05,-1.360194e-06,-7.752648e-05
1950-10-22,-8.381419e-05,-7.089574e-05,-6.463728e-05,-1.371158e-06,4.1017323e-05
1950-10-23,-8.3526844e-05,-7.1050745e-05,0.0013898007,-1.4435836e-06,-0.00012660128
1950-10-24,-8.122187e-05,-7.388178e-05,0.00025840552,-1.795215e-06,-0.00011227413
1950-10-25,-8.5580185e-05,-7.850627e-05,0.00015797111,-1.7898274e-06,-0.00010872835
1950-10-26,-4.078247e-06,-7.906247e-05,2.8821938e-05,-1.8065664e-06,-0.00012529403
1950-10-27,9.769167e-05,-7.726006e-05,-6.17147e-05,-1.7936313e-06,-0.00012269319
1950-10-28,0.00094844884,-7.8132514e-05,-1.427429e-05,-1.8773554e-06,-2.8511735e-05
1950-10-29,0.00011002978,-7.219001e-05,-6.8155605e-05,-1.7539602e-06,-0.00011847585
1950-10-30,-1.192958e-05,-7.9827434e-05,-9.187166e-06,-1.8107492e-06,-0.00012676118
1950-10-31,0.000119902594,-8.311082e-05,-7.042736e-05,-1.8155334e-06,-8.478912e-05
