,sicArtic_cluster1,sicArtic_cluster2,sicArtic_cluster3,sicArtic_cluster4,sicArtic_cluster5
1950-10-13,0.031157851,-0.00016122554,0.23720968,0.06392038,0.027639747
1950-10-14,0.030864298,-0.00016122554,0.23284847,0.060319126,0.026711881
1950-10-15,0.030595899,-0.00016122554,0.22852898,0.05684668,0.02583152
1950-10-16,0.030195177,-0.00016122554,0.22372395,0.053539515,0.025110126
1950-10-17,0.029540718,-0.00016122554,0.21651453,0.051364243,0.02440828
1950-10-18,0.029006481,-0.00016122554,0.20956051,0.049782276,0.024057508
1950-10-19,0.02845788,-0.00016122554,0.20249337,0.048225343,0.023838818
1950-10-20,0.028070867,-0.00016122554,0.19595897,0.04675597,0.02394712
1950-10-21,0.02770251,-0.00016122554,0.189691,0.045307517,0.024177551
1950-10-22,0.02731502,-0.00016122554,0.18354058,0.04376316,0.024278581
1950-10-23,0.026975632,-0.00016122554,0.17800009,0.042300105,0.024039507
1950-10-24,0.026716828,-0.00016122554,0.17228866,0.041035473,0.02368778
1950-10-25,0.026586056,-0.00016877598,0.16632676,0.039887726,0.02339828
1950-10-26,0.02640587,-0.00025978868,0.16031915,0.03872055,0.023237526
1950-10-27,0.026255965,-0.00035587422,0.15487379,0.037669003,0.023123443
1950-10-28,0.025999546,-0.00045927777,0.15009993,0.03653443,0.023090899
1950-10-29,0.025717914,-0.00056316535,0.14585292,0.035449684,0.02309835
1950-10-30,0.025521517,-0.0005905941,0.14197731,0.03413838,0.023023367
1950-10-31,0.025500894,-0.0008143917,0.13814789,0.03270507,0.022870064
1950-11-01,0.025386333,-0.0010883829,0.13441348,0.031401575,0.022810161
1950-11-02,0.025198638,-0.0014315163,0.1301449,0.030288458,0.02273953
1950-11-03,0.02499628,-0.0018274672,0.12550831,0.029218495,0.022806644
1950-11-04,0.024763525,-0.0022543813,0.12103945,0.028211296,0.022755444
1950-11-05,0.024444818,-0.002523322,0.11694455,0.027077258,0.022635877
1950-11-06,0.024179816,-0.0028584194,0.112801075,0.025378287,0.022317708
1950-11-07,0.02399695,-0.0031223374,0.10902631,0.022600412,0.022035122
1950-11-08,0.023921609,-0.0035228005,0.104130566,0.020061195,0.021943212
1950-11-09,0.023857832,-0.0039142706,0.09878564,0.017632723,0.021789968
1950-11-10,0.02380681,-0.0044720215,0.09369612,0.01507318,0.02144581
1950-11-11,0.023766458,-0.005026515,0.088837504,0.012506723,0.021078408
1950-11-12,0.02355045,-0.0055159866,0.08428025,0.0100364685,0.020816267
1950-11-13,0.023419619,-0.0059044007,0.07988775,0.007699609,0.020589888
1950-11-14,0.023317814,-0.0064343615,0.07594323,0.0053789616,0.020343602
1950-11-15,0.023247957,-0.0070048803,0.07243484,0.0031148195,0.020115972
1950-11-16,0.023258865,-0.0077003534,0.07111955,0.0020814538,0.019759178
1950-11-17,0.023333967,-0.0084681865,0.07041818,0.00191015,0.020245373
1950-11-18,0.02351433,-0.009049716,0.07000524,0.0017920732,0.02050978
1950-11-19,0.023594081,-0.009541615,0.069425166,0.0017126799,0.020693779
1950-11-20,0.023604631,-0.00991998,0.06883013,0.0016588569,0.020917773
1950-11-21,0.023635507,-0.010219678,0.067949116,0.0018152595,0.021271586
1950-11-22,0.023625374,-0.010599315,0.06690788,0.0020823479,0.0216645
1950-11-23,0.023591995,-0.011223865,0.06595218,0.0023297071,0.02208966
1950-11-24,0.023511708,-0.011692959,0.065107346,0.0026026964,0.022497833
1950-11-25,0.023477256,-0.011934687,0.064400434,0.0029152632,0.022900164
1950-11-26,0.023357153,-0.012084679,0.06369811,0.0032895207,0.023322284
1950-11-27,0.023402154,-0.012316365,0.06282252,0.0037882328,0.023674905
1950-11-28,0.023403645,-0.012561565,0.062009633,0.0043503046,0.023968577
1950-11-29,0.02334845,-0.013013206,0.06125444,0.004892111,0.024501503
1950-11-30,0.023247778,-0.013426413,0.06049782,0.0053159,0.025148273
1950-12-01,0.023169875,-0.013550594,0.059523523,0.005689144,0.025710285
1950-12-02,0.023088276,-0.013433178,0.05837643,0.0060065985,0.026255906
1950-12-03,0.022966743,-0.013311174,0.057399094,0.00642246,0.02651894
1950-12-04,0.022825897,-0.013196907,0.056427002,0.0068344474,0.026507795
1950-12-05,0.022629201,-0.013255856,0.05535978,0.007377863,0.026670635
1950-12-06,0.022482336,-0.006982675,0.05430013,0.007955015,0.026948333
1950-12-07,0.02230382,0.06267576,0.053046823,0.008430481,0.027082264
1950-12-08,0.022143066,0.074477285,0.0516178,0.0087834,0.027088523
1950-12-09,0.021997094,0.08620595,0.05018395,0.009156406,0.027093709
1950-12-10,0.021888435,0.09812138,0.04903823,0.009604216,0.027264118
1950-12-11,0.0218364,0.1100439,0.048158944,0.010058582,0.027574241
1950-12-12,0.021892726,0.12186801,0.047579527,0.010458112,0.02804482
1950-12-13,0.021993041,0.13366742,0.047038496,0.010848761,0.02851373
1950-12-14,0.022154212,0.14570624,0.04615301,0.0112066865,0.028866172
1950-12-15,0.022285521,0.15770839,0.045288444,0.011587441,0.029210687
1950-12-16,0.02236265,0.16864872,0.044599056,0.011907518,0.029455543
1950-12-17,0.022378445,0.16847882,0.04426205,0.011463165,0.028577924
1950-12-18,0.022315502,0.16797565,0.04430914,0.011128783,0.028854191
1950-12-19,0.022290766,0.16752298,0.04448533,0.010825992,0.029086351
1950-12-20,0.022330284,0.16694976,0.04476422,0.010604024,0.029295444
1950-12-21,0.02233833,0.16621557,0.04511732,0.0103853345,0.02958411
1950-12-22,0.02227825,0.16554649,0.045365393,0.010169029,0.029961526
1950-12-23,0.022224128,0.16517977,0.04537517,0.010010421,0.030280411
1950-12-24,0.02217871,0.16457827,0.045195103,0.009933531,0.03057003
1950-12-25,0.022140563,0.16382957,0.04491055,0.009827912,0.03093183
1950-12-26,0.022130609,0.16272151,0.044769406,0.009768367,0.031371653
1950-12-27,0.022019804,0.16167557,0.044881344,0.0097049475,0.03177613
1950-12-28,0.02195549,0.1607621,0.04521501,0.0096645355,0.032181084
1950-12-29,0.021939635,0.15976748,0.045555174,0.009531438,0.032450438
1950-12-30,0.021912515,0.1588962,0.04601878,0.009490728,0.032641113
1950-12-31,0.02187264,0.15781152,0.046602726,0.009477735,0.03275162
